condition,response,row_number,trial_name,index_observation,index_utterance,id
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,10,18
0,"['some', 'most', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,13,18
1,"['some', 'most', 'right']","[12, 12, 3, 0, 0]",main_trials,10,12,18
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,18
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,18
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",main_trials,5,28,18
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",main_trials,8,6,18
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,18
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,18
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,18
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,29,18
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,18
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",main_trials,12,14,18
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,18
0,"['most', 'some', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,19,35
1,"['most', 'most', 'right']","[12, 12, 12, 9, 9]",main_trials,5,20,35
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,35
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,35
1,"['all', 'some', 'right']","[12, 12, 9, 3, 3]",main_trials,15,26,35
1,"['some', 'most', 'right']","[12, 12, 12, 3, 3]",main_trials,11,12,35
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",main_trials,0,12,35
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,21,35
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",main_trials,6,20,35
0,"['all', 'some', 'right']","[12, 12, 12, 12, 12]",main_trials,2,26,35
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,35
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,21,35
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,35
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,19,35
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,35
0,"['most', 'most', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,21,35
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,28,35
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",main_trials,12,14,35
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,35
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,21,35
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,21,33
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,33
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,33
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,33
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,33
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,13,33
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,33
1,"['most', 'some', 'right']","[9, 9, 3, 3, 3]",main_trials,0,18,33
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",main_trials,4,20,33
0,"['none', 'all', 'right']","[9, 9, 9, 0, 0]",main_trials,18,6,33
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,28,33
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,33
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,21,33
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",main_trials,10,14,33
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,33
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,33
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",main_trials,10,14,20
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",main_trials,18,15,20
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,20
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",main_trials,0,12,20
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,20
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,20
0,"['none', 'all', 'wrong']","[12, 12, 12, 12, 12]",main_trials,2,7,20
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",main_trials,7,20,20
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,11,20
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",main_trials,19,12,20
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",main_trials,15,14,20
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,20
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,20
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,28,20
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,20
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,20
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,20
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,18,20
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,20
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,29,20
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,18,0
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,0
1,"['none', 'all', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,7,0
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",main_trials,15,13,0
0,"['all', 'some', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,27,0
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,0
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,23,0
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,0
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,28,0
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",main_trials,16,14,0
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,0
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,15,0
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,0
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,0
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,0
1,"['all', 'some', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,27,0
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,0
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,0
0,"['none', 'all', 'right']","[9, 9, 9, 0, 0]",main_trials,18,6,0
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,21,24
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,26,24
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,21,24
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,24
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",main_trials,7,20,24
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,24
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",main_trials,4,20,24
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,24
0,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,24
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,24
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,24
0,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",main_trials,2,25,24
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,19,24
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,15,24
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,21,24
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,24
0,"['all', 'some', 'wrong']","[9, 9, 9, 0, 0]",main_trials,18,27,24
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",main_trials,8,6,24
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,24
0,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,29
0,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",main_trials,4,20,29
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,10,29
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,29
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,29
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,29
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,26,29
1,"['all', 'some', 'right']","[12, 12, 12, 3, 3]",main_trials,11,26,29
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,29
0,"['some', 'most', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,13,29
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,29
0,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,29
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,21,29
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,28,29
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,29
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,29
1,"['most', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,18,25
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,25
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,18,25
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,25
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",main_trials,4,20,25
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,21,25
1,"['none', 'none', 'right']","[12, 12, 3, 3, 3]",main_trials,12,0,25
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",main_trials,10,14,25
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,25
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,25
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,25
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,25
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,25
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,25
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,21,25
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,20,25
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,25
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,25
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,25
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,23,25
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",main_trials,19,12,22
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,22
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",main_trials,7,20,22
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,22
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,29,22
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,22
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,22
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,29,22
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",main_trials,10,14,22
0,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",main_trials,2,25,22
1,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",main_trials,13,24,22
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,23,22
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,22
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,22
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",main_trials,0,26,22
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,22
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,22
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,22
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,19,22
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,22
0,"['none', 'all', 'right']","[9, 9, 0, 0, 0]",main_trials,3,6,7
0,"['none', 'all', 'right']","[9, 9, 9, 0, 0]",main_trials,18,6,7
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,21,7
0,"['none', 'all', 'right']","[9, 9, 3, 3, 3]",main_trials,0,6,7
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",main_trials,7,6,7
1,"['most', 'some', 'right']","[9, 9, 3, 0, 0]",main_trials,19,18,7
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,7
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,26,7
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,19,7
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,7
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,7
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",main_trials,11,22,7
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,21,7
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",main_trials,4,14,7
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",main_trials,9,29,7
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,7
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,7
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,7
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,7
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,7
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,44
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",main_trials,15,13,44
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,21,44
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,44
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",main_trials,18,15,44
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",main_trials,12,14,44
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,44
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",main_trials,19,12,44
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,44
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",main_trials,4,14,44
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,20,44
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,15,44
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",main_trials,3,12,44
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,44
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,18,44
1,"['none', 'all', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,7,44
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,23,44
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,20,44
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,44
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,44
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",main_trials,12,14,50
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,50
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",main_trials,5,22,50
0,"['some', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,15,50
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",main_trials,1,14,50
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,15,50
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,50
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,50
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",main_trials,14,29,50
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",main_trials,19,12,50
1,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",main_trials,13,6,50
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,50
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,50
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",main_trials,8,27,50
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,10,50
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,50
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",main_trials,0,12,50
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",main_trials,15,13,50
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",main_trials,16,11,50
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",main_trials,15,20,21
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",main_trials,8,20,21
1,"['some', 'some', 'right']","[3, 3, 3, 3, 3]",main_trials,14,10,21
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",main_trials,5,11,21
1,"['some', 'some', 'right']","[12, 12, 0, 0, 0]",main_trials,1,10,21
0,"['some', 'most', 'wrong']","[12, 12, 3, 0, 0]",main_trials,10,13,21
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",main_trials,6,15,21
1,"['none', 'all', 'right']","[0, 0, 0, 0, 0]",main_trials,13,6,21
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",main_trials,2,30,21
1,"['most', 'most', 'right']","[12, 12, 12, 3, 3]",main_trials,11,20,21
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",main_trials,12,13,21
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",main_trials,17,23,21
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,21,21
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",main_trials,16,20,21
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",main_trials,9,10,21
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",main_trials,4,15,21
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",main_trials,18,20,21
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",main_trials,7,13,21
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",main_trials,3,23,21
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",main_trials,19,15,21
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",main_trials,1,23,46
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",main_trials,11,13,46
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",main_trials,17,10,46
1,"['none', 'all', 'wrong']","[9, 9, 3, 3, 3]",main_trials,0,7,46
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",main_trials,6,22,46
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",main_trials,13,31,46
