condition,response,row_number,index_observation,index_utterance,id
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,71
0,"['none', 'most', 'right']","[3, 3, 3, 3, 3]",7,4,71
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,71
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,71
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,71
0,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,54
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,54
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,54
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",3,6,54
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,54
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,54
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,54
1,"['some', 'some', 'right']","[9, 9, 0, 0, 0]",14,10,54
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",2,8,54
0,"['most', 'some', 'right']","[12, 12, 9, 3, 3]",9,18,54
0,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,54
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,54
1,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",17,10,54
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",19,15,54
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,54
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,54
0,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,54
0,"['none', 'most', 'right']","[3, 3, 3, 3, 3]",7,4,54
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",6,14,54
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",5,20,56
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,56
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,11,56
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",17,12,56
0,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,56
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,56
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",19,15,56
1,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",1,25,56
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,56
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,56
0,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",15,24,56
0,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,56
1,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,56
1,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,56
1,"['some', 'none', 'wrong']","[12, 12, 3, 0, 0]",11,9,56
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,56
0,"['some', 'none', 'right']","[12, 12, 12, 0, 0]",18,8,56
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,56
0,"['most', 'none', 'right']","[12, 12, 0, 0, 0]",4,16,56
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,56
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",5,14,57
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,57
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,57
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,57
0,"['some', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,15,57
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,57
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,57
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,57
1,"['all', 'some', 'right']","[12, 12, 3, 3, 3]",10,26,57
1,"['most', 'none', 'right']","[0, 0, 0, 0, 0]",15,16,57
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,57
1,"['all', 'some', 'right']","[12, 12, 12, 3, 3]",8,26,57
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,57
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,57
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,57
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,57
0,"['some', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,15,57
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",13,27,57
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",3,6,38
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,38
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,38
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",1,10,38
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,38
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,38
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,38
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,38
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,38
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,38
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,38
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,38
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,38
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,38
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,38
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,38
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,38
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,38
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,38
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,38
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,5
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,21,5
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,5
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,5
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,5
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,5
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,5
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,5
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,5
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",9,20,5
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,5
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,5
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,5
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,5
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,5
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,5
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",8,11,5
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",6,14,5
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,5
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,5
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",12,21,31
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,21,31
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,31
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",3,20,31
1,"['most', 'most', 'wrong']","[0, 0, 0, 0, 0]",15,21,31
0,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,31
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",17,21,31
0,"['some', 'some', 'right']","[12, 12, 9, 0, 0]",5,10,31
1,"['some', 'some', 'wrong']","[3, 3, 3, 3, 3]",7,11,31
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",13,20,31
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,31
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,31
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,31
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,31
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",18,20,31
1,"['some', 'most', 'wrong']","[12, 12, 0, 0, 0]",4,13,31
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,31
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,31
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,16
1,"['some', 'most', 'right']","[12, 12, 9, 0, 0]",5,12,16
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,16
0,"['all', 'some', 'wrong']","[9, 9, 3, 3, 3]",0,27,16
0,"['none', 'all', 'wrong']","[12, 12, 12, 12, 12]",1,7,16
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,16
0,"['none', 'all', 'right']","[9, 9, 3, 0, 0]",17,6,16
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,16
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",13,6,16
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,16
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,16
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,16
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",9,20,16
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,21,16
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,16
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,16
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,16
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,16
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,16
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,16
0,"['some', 'none', 'right']","[12, 12, 9, 0, 0]",5,8,17
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",9,20,17
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,17
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,29,17
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",16,28,17
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,17
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,19,17
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,17
1,"['some', 'some', 'wrong']","[0, 0, 0, 0, 0]",15,11,17
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",11,21,17
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,17
0,"['none', 'all', 'wrong']","[12, 12, 12, 12, 12]",1,7,17
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",17,21,17
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,17
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,17
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,17
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,17
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,17
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,21,50
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",18,20,50
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,50
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,50
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",5,20,50
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",0,21,50
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",14,12,50
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,21,50
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,50
1,"['most', 'most', 'wrong']","[0, 0, 0, 0, 0]",15,21,50
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,50
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,50
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",10,13,50
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,50
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,50
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,11,50
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,50
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,27,50
1,"['some', 'most', 'right']","[9, 9, 9, 3, 3]",13,12,50
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,50
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",13,6,13
1,"['some', 'all', 'right']","[12, 12, 12, 3, 3]",8,14,13
0,"['most', 'some', 'wrong']","[9, 9, 9, 9, 9]",3,19,13
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,13
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,13
0,"['none', 'all', 'right']","[9, 9, 3, 3, 3]",0,6,13
1,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",17,10,13
1,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",15,24,13
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,13
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,13
0,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",1,25,13
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,13
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",6,11,13
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",16,11,13
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",12,23,13
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,13
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",19,10,13
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,13
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",2,20,13
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",9,14,13
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,63
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,63
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",9,13,63
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",4,14,63
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,63
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,63
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",8,13,63
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,63
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,63
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",16,22,63
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",19,18,63
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",3,28,63
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",11,15,63
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",15,31,63
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",1,30,63
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",6,20,63
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",7,26,63
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",0,12,63
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",18,15,63
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",13,27,63
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",17,15,9
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",8,22,9
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",5,15,9
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",7,29,9
1,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",14,23,9
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",0,26,9
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",11,14,9
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",4,23,9
1,"['all', 'most', 'right']","[12, 12, 9, 9, 9]",6,28,9
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",2,15,9
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",13,13,9
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",18,22,9
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",12,10,9
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",19,29,9
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",9,20,9
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",10,14,9
