condition,response,row_number,array_size_condition,index_array_size_condition,index_observation,index_utterance,id
0,"['none', 'all', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,6,74
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,74
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,74
0,"['some', 'none', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,8,74
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,21,74
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,74
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,74
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,73
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,19,73
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,73
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",wideShort,0,16,11,73
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,73
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,14,73
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,73
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,14,73
1,"['some', 'some', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,11,73
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,15,73
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,29,73
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,73
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,21,73
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,26,73
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,29,73
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,73
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,73
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,73
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,73
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,6,73
1,"['some', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,12,72
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,21,72
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,72
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,10,72
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,72
1,"['some', 'none', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,8,72
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,72
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,12,72
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",wideShort,0,5,15,72
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,72
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,21,72
0,"['some', 'all', 'wrong']","[12, 12, 12, 0, 0]",wideShort,0,18,15,72
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,72
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,20,72
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,23,72
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,15,72
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,72
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",wideShort,0,3,27,72
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,72
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,72
0,"['none', 'all', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,6,71
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,6,71
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,14,71
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,20,71
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,71
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,18,71
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,71
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,71
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,71
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,12,71
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,10,71
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",wideShort,0,5,15,71
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,31,71
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,71
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,26,71
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,71
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,20,71
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,8,71
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,23,71
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",wideShort,0,16,11,71
1,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,20,70
0,"['most', 'some', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,19,70
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,70
1,"['some', 'some', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,10,70
1,"['most', 'some', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,18,70
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,28,70
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,70
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,18,70
0,"['some', 'none', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,8,70
0,"['most', 'none', 'right']","[3, 3, 0, 0, 0]",wideShort,0,12,16,70
1,"['all', 'some', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,26,70
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",wideShort,0,13,27,70
0,"['none', 'all', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,6,70
0,"['most', 'some', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,19,70
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,70
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,23,70
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,10,70
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,70
1,"['some', 'some', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,11,70
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,29,70
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",wideShort,0,12,10,69
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,69
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,69
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,6,69
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,69
0,"['some', 'none', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,8,69
1,"['none', 'all', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,7,69
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,6,69
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,69
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,69
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,15,69
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,69
0,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,24,69
0,"['most', 'some', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,18,69
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,14,69
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,69
0,"['none', 'most', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,4,69
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,69
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,69
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,12,69
0,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",wideShort,0,10,14,68
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,68
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,68
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,6,68
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,12,68
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,68
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,68
1,"['some', 'some', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,10,68
0,"['some', 'none', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,8,68
0,"['most', 'some', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,18,68
0,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,68
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,68
1,"['some', 'some', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,10,68
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,15,68
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,15,68
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",wideShort,0,12,10,68
0,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,14,68
0,"['none', 'most', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,4,68
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,14,68
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,20,67
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,67
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,11,67
1,"['some', 'most', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,12,67
0,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,12,67
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,67
0,"['some', 'all', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,15,67
1,"['all', 'none', 'wrong']","[12, 12, 12, 12, 12]",wideShort,0,1,25,67
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,67
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",wideShort,0,2,15,67
0,"['all', 'none', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,24,67
0,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,14,67
1,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,29,67
1,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,67
1,"['some', 'none', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,9,67
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,67
0,"['some', 'none', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,8,67
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",wideShort,0,16,11,67
0,"['most', 'none', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,16,67
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,67
1,"['some', 'all', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,14,66
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,66
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,29,66
1,"['some', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,10,66
0,"['some', 'all', 'wrong']","[9, 9, 0, 0, 0]",wideShort,0,14,15,66
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,15,66
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,66
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,66
1,"['all', 'some', 'right']","[12, 12, 3, 3, 3]",wideShort,0,10,26,66
1,"['most', 'none', 'right']","[0, 0, 0, 0, 0]",wideShort,0,15,16,66
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,14,66
1,"['all', 'some', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,26,66
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,66
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",wideShort,0,16,11,66
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,19,66
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,66
0,"['some', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,15,66
0,"['all', 'some', 'wrong']","[9, 9, 9, 3, 3]",wideShort,0,13,27,66
0,"['none', 'all', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,6,65
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,65
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,65
0,"['some', 'some', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,10,65
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,65
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",wideShort,0,10,14,65
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,19,65
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,65
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,21,65
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",wideShort,0,5,15,65
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,65
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,18,65
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,65
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,65
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,65
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,31,65
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,15,65
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,65
1,"['some', 'all', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,14,65
1,"['some', 'all', 'right']","[12, 12, 3, 0, 0]",wideShort,0,11,14,65
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,18,64
0,"['most', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,21,64
0,"['some', 'all', 'wrong']","[12, 12, 9, 0, 0]",wideShort,0,5,15,64
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,31,64
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,15,64
0,"['all', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,29,64
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,64
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,64
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,64
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,20,64
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,64
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,12,64
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",wideShort,0,2,15,64
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",wideShort,0,3,27,64
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,64
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,64
0,"['some', 'some', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,11,64
1,"['some', 'all', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,14,64
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,64
0,"['some', 'all', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,15,64
0,"['most', 'most', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,21,63
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,21,63
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,63
1,"['most', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,20,63
1,"['most', 'most', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,21,63
0,"['most', 'most', 'right']","[12, 12, 9, 9, 9]",wideShort,0,6,20,63
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,21,63
0,"['some', 'some', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,10,63
1,"['some', 'some', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,11,63
1,"['most', 'most', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,20,63
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,63
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,63
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,63
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,63
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,20,63
1,"['some', 'most', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,13,63
0,"['some', 'some', 'wrong']","[12, 12, 12, 9, 9]",wideShort,0,16,11,63
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,21,63
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,28,62
1,"['some', 'most', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,12,62
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,23,62
0,"['all', 'some', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,27,62
0,"['none', 'all', 'wrong']","[12, 12, 12, 12, 12]",wideShort,0,1,7,62
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,62
0,"['none', 'all', 'right']","[9, 9, 3, 0, 0]",wideShort,0,17,6,62
1,"['all', 'some', 'right']","[3, 3, 3, 3, 3]",wideShort,0,7,26,62
0,"['none', 'all', 'right']","[9, 9, 9, 3, 3]",wideShort,0,13,6,62
1,"['some', 'all', 'right']","[12, 12, 3, 3, 3]",wideShort,0,10,14,62
1,"['most', 'some', 'right']","[3, 3, 3, 0, 0]",wideShort,0,19,18,62
1,"['all', 'most', 'right']","[9, 9, 9, 9, 9]",wideShort,0,3,28,62
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,20,62
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,21,62
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,62
0,"['all', 'all', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,31,62
0,"['some', 'all', 'wrong']","[9, 9, 9, 0, 0]",wideShort,0,2,15,62
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,62
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",wideShort,0,12,10,62
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,19,62
0,"['some', 'none', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,8,61
1,"['most', 'most', 'right']","[12, 12, 9, 3, 3]",wideShort,0,9,20,61
0,"['most', 'all', 'wrong']","[12, 12, 0, 0, 0]",wideShort,0,4,23,61
0,"['all', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,29,61
1,"['all', 'most', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,28,61
1,"['some', 'most', 'right']","[9, 9, 3, 3, 3]",wideShort,0,0,12,61
0,"['most', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,19,61
0,"['some', 'most', 'wrong']","[9, 9, 9, 3, 3]",wideShort,0,13,13,61
1,"['some', 'some', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,11,61
0,"['most', 'most', 'wrong']","[12, 12, 3, 0, 0]",wideShort,0,11,21,61
0,"['most', 'all', 'wrong']","[9, 9, 0, 0, 0]",wideShort,0,14,23,61
0,"['none', 'all', 'wrong']","[12, 12, 12, 12, 12]",wideShort,0,1,7,61
0,"['most', 'most', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,21,61
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,61
1,"['most', 'all', 'right']","[12, 12, 12, 3, 3]",wideShort,0,8,22,61
1,"['most', 'all', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,22,61
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",wideShort,0,3,27,61
1,"['some', 'some', 'right']","[3, 3, 0, 0, 0]",wideShort,0,12,10,61
0,"['most', 'most', 'wrong']","[3, 3, 3, 0, 0]",wideShort,0,19,21,60
1,"['most', 'most', 'right']","[12, 12, 12, 0, 0]",wideShort,0,18,20,60
1,"['most', 'most', 'right']","[9, 9, 9, 0, 0]",wideShort,0,2,20,60
0,"['most', 'all', 'wrong']","[3, 3, 0, 0, 0]",wideShort,0,12,23,60
1,"['most', 'most', 'right']","[12, 12, 9, 0, 0]",wideShort,0,5,20,60
0,"['most', 'most', 'wrong']","[9, 9, 3, 3, 3]",wideShort,0,0,21,60
1,"['some', 'most', 'right']","[9, 9, 0, 0, 0]",wideShort,0,14,12,60
0,"['most', 'most', 'wrong']","[3, 3, 3, 3, 3]",wideShort,0,7,21,60
0,"['some', 'most', 'wrong']","[12, 12, 12, 3, 3]",wideShort,0,8,13,60
1,"['most', 'most', 'wrong']","[0, 0, 0, 0, 0]",wideShort,0,15,21,60
0,"['some', 'most', 'wrong']","[12, 12, 9, 3, 3]",wideShort,0,9,13,60
1,"['most', 'all', 'right']","[12, 12, 12, 9, 9]",wideShort,0,16,22,60
0,"['some', 'most', 'wrong']","[12, 12, 3, 3, 3]",wideShort,0,10,13,60
1,"['some', 'all', 'right']","[12, 12, 0, 0, 0]",wideShort,0,4,14,60
0,"['some', 'all', 'wrong']","[9, 9, 3, 0, 0]",wideShort,0,17,15,60
0,"['some', 'some', 'wrong']","[12, 12, 9, 9, 9]",wideShort,0,6,11,60
1,"['all', 'all', 'right']","[12, 12, 12, 12, 12]",wideShort,0,1,30,60
0,"['all', 'some', 'wrong']","[9, 9, 9, 9, 9]",wideShort,0,3,27,60
